,city,year,month,ridership,Mode
187,Chicago,2020,12,240878.96774193548,bus
188,Chicago,2021,1,230863.93548387097,bus
189,Chicago,2021,2,243111.10714285713,bus
190,Chicago,2021,3,286049.96774193546,bus
191,Chicago,2021,4,295486.0,bus
192,Chicago,2021,5,296700.8387096774,bus
193,Chicago,2021,6,328157.0333333333,bus
194,Chicago,2021,7,342101.0967741936,bus
195,Chicago,2021,8,353215.51612903224,bus
196,Chicago,2021,9,401958.8333333333,bus
197,Chicago,2021,10,384052.5483870968,bus
198,Chicago,2021,11,364130.86666666664,bus
199,Chicago,2021,12,328255.7419354839,bus
200,Chicago,2022,1,277631.77419354836,bus
201,Chicago,2022,2,345886.6785714286,bus
202,Chicago,2022,3,389742.8064516129,bus
203,Chicago,2022,4,382686.93333333335,bus
204,Chicago,2022,5,395293.0,bus
205,Chicago,2022,6,399839.4,bus
206,Chicago,2022,7,372723.51612903224,bus
207,Chicago,2022,8,407800.7419354839,bus
208,Chicago,2022,9,442211.63333333336,bus
209,Chicago,2022,10,429049.5483870968,bus
210,Chicago,2022,11,401847.1666666667,bus
211,Chicago,2022,12,357809.29032258067,bus
212,Chicago,2023,1,377474.70967741933,bus
213,Chicago,2023,2,414453.03571428574,bus
214,Chicago,2023,3,435634.9032258064,bus
215,Chicago,2023,4,426814.5333333333,bus
216,Chicago,2023,5,455706.48387096776,bus
217,Chicago,2023,6,439543.5,bus
218,Chicago,2023,7,419327.1612903226,bus
219,Chicago,2023,8,468669.0967741936,bus
220,Chicago,2023,9,493214.23333333334,bus
221,Chicago,2023,10,491693.1935483871,bus
222,Chicago,2023,11,463167.73333333334,bus
223,Chicago,2023,12,429316.1612903226,bus
224,Chicago,2024,1,415582.7419354839,bus
225,Chicago,2024,2,496843.9655172414,bus
226,Chicago,2024,3,477227.48387096776,bus
227,Chicago,2024,4,520507.0333333333,bus
228,Chicago,2024,5,527987.1290322581,bus
229,Chicago,2024,6,491425.63333333336,bus
230,Chicago,2024,7,493770.4516129032,bus
231,Chicago,2024,8,501116.12903225806,bus
232,Chicago,2024,9,538703.0666666667,bus
233,Chicago,2024,10,564973.8709677419,bus
234,Chicago,2024,11,490009.93333333335,bus
235,Chicago,2024,12,442109.29032258067,bus
236,Chicago,2025,1,443943.77419354836,bus
237,Chicago,2025,2,490197.3214285714,bus
238,Chicago,2025,3,502098.4193548387,bus
239,Chicago,2025,4,542728.6333333333,bus
