id,date,daytype,member,rides,route,rowID,type
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065424,2013-07-06T00:00:00,A,https://data.cityofchicago.org/resource/jyb9-n7fm,707,R55,row-1065424,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065425,2013-07-07T00:00:00,U,https://data.cityofchicago.org/resource/jyb9-n7fm,535,R55,row-1065425,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065426,2013-07-08T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,645,R55,row-1065426,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065427,2013-07-09T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,524,R55,row-1065427,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065428,2013-07-10T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,697,R55,row-1065428,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065429,2013-07-11T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,785,R55,row-1065429,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065430,2013-07-12T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,795,R55,row-1065430,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065431,2013-07-13T00:00:00,A,https://data.cityofchicago.org/resource/jyb9-n7fm,960,R55,row-1065431,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065432,2013-07-14T00:00:00,U,https://data.cityofchicago.org/resource/jyb9-n7fm,779,R55,row-1065432,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065433,2013-07-15T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,700,R55,row-1065433,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065434,2013-07-16T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,765,R55,row-1065434,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065435,2013-07-17T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,683,R55,row-1065435,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065436,2013-07-18T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,689,R55,row-1065436,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065437,2013-07-19T00:00:00,W,https://data.cityofchicago.org/resource/jyb9-n7fm,741,R55,row-1065437,https://data.cityofchicago.org/resource/jyb9-n7fm
https://data.cityofchicago.org/resource/jyb9-n7fm/row-1065438,2013-07-20T00:00:00,A,https://data.cityofchicago.org/resource/jyb9-n7fm,989,R55,row-1065438,https://data.cityofchicago.org/resource/jyb9-n7fm
