,Calendar_Year,Calendar_Month,Route,Average_Daily_Ridership,city
246,2019,10,T2,12041.0,Philadelphia
247,2019,10,35,149.0,Philadelphia
248,2019,10,T5,13620.0,Philadelphia
249,2019,10,37,3676.0,Philadelphia
250,2019,10,38,2856.0,Philadelphia
251,2019,10,39,2617.0,Philadelphia
252,2019,10,40,7595.0,Philadelphia
253,2019,10,42,9237.0,Philadelphia
254,2019,10,43,3973.0,Philadelphia
255,2019,10,44,3614.0,Philadelphia
256,2019,10,45,6417.0,Philadelphia
257,2019,10,46,5822.0,Philadelphia
258,2019,10,47,18392.0,Philadelphia
259,2019,10,48,7603.0,Philadelphia
260,2019,10,49,3139.0,Philadelphia
261,2019,10,50,2003.0,Philadelphia
262,2019,10,52,14548.0,Philadelphia
263,2019,10,53,3042.0,Philadelphia
264,2019,10,54,6978.0,Philadelphia
265,2019,10,55,4789.0,Philadelphia
266,2019,10,56,11609.0,Philadelphia
267,2019,10,57,10852.0,Philadelphia
268,2019,10,58,8710.0,Philadelphia
269,2019,10,59,5329.0,Philadelphia
270,2019,10,60,10527.0,Philadelphia
271,2019,10,61,4267.0,Philadelphia
272,2019,10,62,242.0,Philadelphia
273,2019,10,64,6458.0,Philadelphia
274,2019,10,65,8049.0,Philadelphia
275,2019,10,66,11261.0,Philadelphia
276,2019,10,67,5060.0,Philadelphia
277,2019,10,68,2232.0,Philadelphia
278,2019,10,70,8720.0,Philadelphia
279,2019,10,73,2525.0,Philadelphia
280,2019,10,75,3203.0,Philadelphia
281,2019,10,77,828.0,Philadelphia
282,2019,10,78,78.0,Philadelphia
283,2019,10,79,5662.0,Philadelphia
284,2019,10,80,231.0,Philadelphia
285,2019,10,84,3873.0,Philadelphia
286,2019,10,88,2410.0,Philadelphia
287,2019,10,89,1972.0,Philadelphia
288,2019,10,90,464.0,Philadelphia
289,2019,10,92,347.0,Philadelphia
290,2019,10,93,1241.0,Philadelphia
291,2019,10,94,577.0,Philadelphia
292,2019,10,95,585.0,Philadelphia
293,2019,10,96,1509.0,Philadelphia
294,2019,10,97,645.0,Philadelphia
295,2019,10,98,999.0,Philadelphia
296,2019,10,99,1309.0,Philadelphia
297,2019,10,D1,4180.0,Philadelphia
298,2019,10,D2,4235.0,Philadelphia
299,2019,10,103,1320.0,Philadelphia
300,2019,10,104,3399.0,Philadelphia
301,2019,10,105,1274.0,Philadelphia
302,2019,10,106,1351.0,Philadelphia
303,2019,10,107,1035.0,Philadelphia
304,2019,10,108,5372.0,Philadelphia
305,2019,10,109,4620.0,Philadelphia
306,2019,10,110,2077.0,Philadelphia
307,2019,10,111,1602.0,Philadelphia
308,2019,10,112,1202.0,Philadelphia
309,2019,10,113,6894.0,Philadelphia
310,2019,10,114,1967.0,Philadelphia
311,2019,10,115,1203.0,Philadelphia
312,2019,10,117,2086.0,Philadelphia
313,2019,10,118,569.0,Philadelphia
314,2019,10,119,723.0,Philadelphia
315,2019,10,120,420.0,Philadelphia
316,2019,10,123,930.0,Philadelphia
317,2019,10,124,1948.0,Philadelphia
318,2019,10,125,2330.0,Philadelphia
319,2019,10,126,638.0,Philadelphia
320,2019,10,127,315.0,Philadelphia
321,2019,10,128,387.0,Philadelphia
322,2019,10,129,936.0,Philadelphia
323,2019,10,130,614.0,Philadelphia
324,2019,10,131,711.0,Philadelphia
325,2019,10,132,379.0,Philadelphia
326,2019,10,133,84.0,Philadelphia
327,2019,10,139,406.0,Philadelphia
328,2019,10,150,35.0,Philadelphia
